"","sector","StartDate","Category","activity","Indicator","Governorate","Gender","Partner","SiteType","appeal","Fundedby","allocation","rcode","gcode","Value","Units","location","region","poptype"
"195","WASH","01/02/2014","1. Water Access","4. Improvement/extension/rehabilitation","# benefiting from improved access to safe water in schools and in the host communities.","MAFRAQ","Girls","ACTED","  OtherUrban areas - ","Direct appeal","None","Yes","1","1711",51,"Individual","Mafraq Governorate","North","other Affected"
"196","WASH","01/04/2014","1. Water Access","4. Improvement/extension/rehabilitation","# benefiting from improved access to water in schools and in the host communities","BALQA","Men","OXFAM","   Urban areas - ","Indirect appeal","None","Yes","2","1702",707,"Individuals","Al Balqa Governorate","Center","Urban"
"197","WASH","01/05/2014","1. Water Access","4. Improvement/extension/rehabilitation","# benefiting from improved access to water in schools and in the host communities","BALQA","Men","OXFAM","   Urban areas - ","Indirect appeal","None","Yes","2","1702",62,"Individuals","Al Balqa Governorate","Center","Urban"
"198","WASH","01/05/2014","1. Water Access","4. Improvement/extension/rehabilitation","# benefiting from improved access to water in schools and in the host communities","ZARQA","Men","OXFAM","   Urban areas - ","Appeal outside of RRP6","None","No","1","1712",2212,"Individuals","Zarqa Governorate","North","Urban"
"199","WASH","01/12/2014","1. Water Access","4. Improvement/extension/rehabilitation","# benefiting from improved access to water in schools and in the host communities","Camps","Men","OXFAM","Camp    - ","Appeal outside of RRP6","None","No","5","2",6,"Individuals","Zaatari District 8","North","Urban"
"200","WASH","01/06/2014","1. Water Access","4. Improvement/extension/rehabilitation","# benefiting from improved access to water in schools and in the host communities","ZARQA","Men","OXFAM","   Urban areas - ","Appeal outside of RRP6","None","No","1","1712",616,"Individuals","Zarqa Governorate","North","Urban"
"201","WASH","01/06/2014","1. Water Access","4. Improvement/extension/rehabilitation","# benefiting from improved access to water in schools and in the host communities","BALQA","Men","OXFAM","   Urban areas - ","Indirect appeal","None","Yes","2","1702",235,"Individuals","Al Balqa Governorate","Center","Urban"
"202","WASH","01/05/2014","1. Water Access","4. Improvement/extension/rehabilitation","# benefiting from improved access to water in schools and in the host communities","BALQA","Men","OXFAM","   Urban areas - ","Indirect appeal","None","No","2","1702",2274,"Individuals","Al Balqa Governorate","Center","Urban"
"203","WASH","01/04/2014","1. Water Access","4. Improvement/extension/rehabilitation","# benefiting from improved access to water in schools and in the host communities","ZARQA","Men","OXFAM","   Urban areas - ","Appeal outside of RRP6","None","No","1","1712",1278,"Individuals","Zarqa Governorate","North","Urban"
"204","WASH","01/04/2014","1. Water Access","4. Improvement/extension/rehabilitation","# benefiting from improved access to water in schools and in the host communities","BALQA","Men","OXFAM","   Urban areas - ","Indirect appeal","None","Yes","2","1702",522,"Individuals","Al Balqa Governorate","Center","Urban"
"5477","WASH","01/09/2014","1. Water Access","3. Access to safe water in host communities","# having improved access to safe water","IRBID","Men","ACF","   Urban areas - ","Direct appeal","None","Yes","1","1707",26,"Individual","Liwa Bani Ubayid","North","Urban"
"5478","WASH","01/03/2014","1. Water Access","3. Access to safe water in host communities","# having improved access to safe water","MAFRAQ","Men","ACTED"," Informal Tented SettlementOtherUrban areas - ","Direct appeal","None","Yes","1","1711",207,"Individual","Mafraq Governorate","North","Urban"
"5479","WASH","01/02/2014","1. Water Access","3. Access to safe water in host communities","# having improved access to safe water","JARASH","Men","ACTED","  OtherUrban areas - ","Direct appeal","None","Yes","1","1708",22,"Individual","Jarash Governorate","North","Urban"
"5480","WASH","01/01/2014","1. Water Access","3. Access to safe water in host communities","# having improved access to safe water","IRBID","Men","IRD"," Informal Tented SettlementOtherUrban areas - ","Indirect appeal","UNHCR","Yes","1","1707",4375,"Individual","Irbid Governorate","North","Urban"
"5481","WASH","01/07/2014","1. Water Access","3. Access to safe water in host communities","# having improved access to safe water","IRBID","Men","ACF","   Urban areas - ","Direct appeal","None","Yes","1","1707",20,"Individual","Liwa Bani Ubayid","North","Urban"
"5482","WASH","01/03/2014","1. Water Access","3. Access to safe water in host communities","# having improved access to safe water","IRBID","Men","ACTED","  OtherUrban areas - ","Direct appeal","None","Yes","1","1707",7,"Individual","Irbid Governorate","North","Urban"
"5483","WASH","01/08/2014","1. Water Access","3. Access to safe water in host communities","# having improved access to safe water","IRBID","Men","ACF","   Urban areas - ","Direct appeal","None","Yes","1","1707",9,"Individual","Liwa Bani Ubayid","North","Urban"
"5484","WASH","01/06/2014","1. Water Access","3. Access to safe water in host communities","# having improved access to safe water","IRBID","Men","ACF","   Urban areas - ","Direct appeal","None","Yes","1","1707",52,"Individual","Liwa Bani Ubayid","North","Urban"
"5485","WASH","01/06/2014","1. Water Access","3. Access to safe water in host communities","# having improved access to safe water","AMMAN","Men","OXFAM","   Urban areas - ","Appeal outside of RRP6","None","No","2","1705",470,"Individual","Amman Governorate","Center","Urban"
"5486","WASH","01/02/2014","1. Water Access","3. Access to safe water in host communities","# having improved access to safe water","AJLOUN","Men","ACTED"," Informal Tented SettlementOtherUrban areas - ","Direct appeal","None","Yes","1","1701",42,"Individual","Ajlun Governorate","North","Urban"
"5487","WASH","01/05/2014","1. Water Access","3. Access to safe water in host communities","# having improved access to safe water","ZARQA","Men","WVI","   Urban areas - ","Appeal outside of RRP6","None","No","1","1712",766,"Individual","Zarqa City","North","Urban"
"5488","WASH","01/05/2014","1. Water Access","3. Access to safe water in host communities","# having improved access to safe water",,"Men","WVI","   Urban areas - ","Appeal outside of RRP6","None","No",,,246,"Individual","Liwa al Hashimiyyah",,"Urban"
